全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
022055,0001104,3,青森県,アオモリケン,Aomori,,,,五所川原市,ゴショガワラシ,Goshogawara-shi,,,,相内,アイウチ,Aiuchi,,,,実取,ミトリ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
022055,0001102,3,青森県,アオモリケン,Aomori,,,,五所川原市,ゴショガワラシ,Goshogawara-shi,,,,相内,アイウチ,Aiuchi,,,,吉野,ヨシノ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
412015,0000341,3,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,,,,,,,相尾,アイオ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
016314,0000135,3,北海道,ホッカイドウ,Hokkaido,河東郡,カトウグン,Kato-gun,音更町,オトフケチョウ,Otofuke-cho,,,,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
062073,0001000,1,山形県,ヤマガタケン,Yamagata,,,,上山市,カミノヤマシ,Kaminoyama-shi,,,,相生,アイオイ,Aioi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,9993222,
082325,0000133,3,茨城県,イバラキケン,Ibaraki,,,,神栖市,カミスシ,Kamisu-shi,,,,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
141518,0000202,3,神奈川県,カナガワケン,Kanagawa,,,,相模原市,サガミハラシ,Sagamihara-shi,緑区,ミドリク,Midori-ku,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
182044,0001000,1,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,,,,0,0,0,0,0,0,0,0,1947-04-17,,0 ,9170037,
231169,0000104,3,愛知県,アイチケン,Aichi,,,,名古屋市,ナゴヤシ,Nagoya-shi,天白区,テンパクク,Tempaku-ku,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
234427,0000106,3,愛知県,アイチケン,Aichi,知多郡,チタグン,Chita-gun,東浦町,ヒガシウラチョウ,Higashiura-cho,,,,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
282081,0013000,1,兵庫県,ヒョウゴケン,Hyogo,,,,相生市,アイオイシ,Aioi-shi,,,,相生,アイオイ,,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
322024,0000326,3,島根県,シマネケン,Shimane,,,,浜田市,ハマダシ,Hamada-shi,,,,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
325058,0000174,3,島根県,シマネケン,Shimane,鹿足郡,カノアシグン,Kanoashi-gun,吉賀町,ヨシカチョウ,Yoshika-cho,,,,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
332054,0001000,1,岡山県,オカヤマケン,Okayama,,,,笠岡市,カサオカシ,Kasaoka-shi,,,,相生,アイオイ,Aioi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,7140014,
382060,0000234,3,愛媛県,エヒメケン,Ehime,,,,西条市,サイジョウシ,Saijo-shi,,,,,,,,,,相生,アイオイ,,0,0,0,1,0,0,0,0,1947-04-17,,0 ,,
432164,0001000,1,熊本県,クマモトケン,Kumamoto,,,,合志市,コウシシ,Koshi-shi,,,,合生,アイオイ,Aioi,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,8611101,
182044,0001102,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１０号,10ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001104,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１１号,11ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001106,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１２号,12ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001108,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１３号,13ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001110,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１４号,14ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
