全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字
013471,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,山越郡,ヤマコシグン,Yamakoshi-gun,長万部町,オシャマンベチョウ,Oshamambe-cho,,,
013617,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,檜山郡,ヒヤマグン,Hiyama-gun,江差町,エサシチョウ,Esashi-cho,,,
013625,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,檜山郡,ヒヤマグン,Hiyama-gun,上ノ国町,カミノクニチョウ,Kaminokuni-cho,,,
013633,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,檜山郡,ヒヤマグン,Hiyama-gun,厚沢部町,アッサブチョウ,Assabu-cho,,,
013641,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,爾志郡,ニシグン,Nishi-gun,乙部町,オトベチョウ,Otobe-cho,,,
013676,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,奥尻郡,オクシリグン,Okushiri-gun,奥尻町,オクシリチョウ,Okushiri-cho,,,
013706,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,瀬棚郡,セタナグン,Setana-gun,今金町,イマカネチョウ,Imakane-cho,,,
013714,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,久遠郡,クドウグン,Kudo-gun,せたな町,セタナチョウ,Setana-cho,,,
013919,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,島牧郡,シママキグン,Shimamaki-gun,島牧村,シママキムラ,Shimamaki-mura,,,
013927,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,寿都郡,スッツグン,Suttsu-gun,寿都町,スッツチョウ,Suttsu-cho,,,
013935,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,寿都郡,スッツグン,Suttsu-gun,黒松内町,クロマツナイチョウ,Kuromatsunai-cho,,,
013943,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,磯谷郡,イソヤグン,Isoya-gun,蘭越町,ランコシチョウ,Rankoshi-cho,,,
013951,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,ニセコ町,ニセコチョウ,Niseko-cho,,,
013960,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,真狩村,マッカリムラ,Makkari-mura,,,
013978,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,留寿都村,ルスツムラ,Rusutsu-mura,,,
013986,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,喜茂別町,キモベツチョウ,Kimobetsu-cho,,,
013994,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,京極町,キョウゴクチョウ,Kyogoku-cho,,,
014001,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,虻田郡,アブタグン,Abuta-gun,倶知安町,クッチャンチョウ,Kutchan-cho,,,
014010,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,岩内郡,イワナイグン,Iwanai-gun,共和町,キョウワチョウ,Kyowa-cho,,,
014028,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,岩内郡,イワナイグン,Iwanai-gun,岩内町,イワナイチョウ,Iwanai-cho,,,
014036,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,古宇郡,フルウグン,Furu-gun,泊村,トマリムラ,Tomari-mura,,,
014044,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,古宇郡,フルウグン,Furu-gun,神恵内村,カモエナイムラ,Kamoenai-mura,,,
014052,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,積丹郡,シャコタングン,Shakotan-gun,積丹町,シャコタンチョウ,Shakotan-cho,,,
014061,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,古平郡,フルビラグン,Furubira-gun,古平町,フルビラチョウ,Furubira-cho,,,
014079,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,余市郡,ヨイチグン,Yoichi-gun,仁木町,ニキチョウ,Niki-cho,,,
014087,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,余市郡,ヨイチグン,Yoichi-gun,余市町,ヨイチチョウ,Yoichi-cho,,,
014095,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,余市郡,ヨイチグン,Yoichi-gun,赤井川村,アカイガワムラ,Akaigawa-mura,,,
014231,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,空知郡,ソラチグン,Sorachi-gun,南幌町,ナンポロチョウ,Namporo-cho,,,
014249,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,空知郡,ソラチグン,Sorachi-gun,奈井江町,ナイエチョウ,Naie-cho,,,
014257,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,空知郡,ソラチグン,Sorachi-gun,上砂川町,カミスナガワチョウ,Kamisunagawa-cho,,,
014273,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,夕張郡,ユウバリグン,Yubari-gun,由仁町,ユニチョウ,Yuni-cho,,,
014281,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,夕張郡,ユウバリグン,Yubari-gun,長沼町,ナガヌマチョウ,Naganuma-cho,,,
014290,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,夕張郡,ユウバリグン,Yubari-gun,栗山町,クリヤマチョウ,Kuriyama-cho,,,
014303,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,樺戸郡,カバトグン,Kabato-gun,月形町,ツキガタチョウ,Tsukigata-cho,,,
